subject,window,window_index,window_sec,noise,alpha,status,status_name,phase,t_start_sec,t_end_sec,major_ratio,subject_total_duration_sec,task4_duration_sec,n_peaks,n_ibi,ibi_pass_ratio,valid_ibi_count,ibi_mean_sec,ibi_std_sec,RMSSD,SDNN,LF,HF,LF_HF
subject_01,window24,24,60,alpha_0.01,0.01,1,stress,Task3,1380.0,1440.0,1.0,2505.765625,585.765625,85,84,1.0,53,0.6780660377358491,0.12130975381291284,0.15343008265794253,0.12130975381291284,0.002247101371369785,0.00536837183844838,0.41858154371424167
subject_01,window25,25,60,alpha_0.01,0.01,1,stress,Task3,1440.0,1500.0,1.0,2505.765625,585.765625,79,78,0.9871794871794872,50,0.6975,0.12057641508603578,0.16323665445341268,0.12057641508603578,0.00296198527860601,0.004117094462850077,0.719435831587785
subject_01,window26,26,60,alpha_0.01,0.01,0,normal,Rest4,1500.0,1560.0,1.0,2505.765625,585.765625,89,88,1.0,53,0.6715801886792453,0.11858893022395686,0.1562950656164733,0.11858893022395686,0.0019035352890838491,0.004642264911670319,0.4100445203586936
subject_01,window27,27,60,alpha_0.01,0.01,0,normal,Rest4,1560.0,1620.0,1.0,2505.765625,585.765625,77,76,1.0,59,0.7288135593220338,0.116634915815682,0.18475222588015663,0.116634915815682,0.00041103081459679616,0.00445729751836807,0.0922152521573846
subject_01,window28,28,60,alpha_0.01,0.01,1,stress,Task4,1620.0,1680.0,1.0,2505.765625,585.765625,74,73,1.0,54,0.8125,0.114622783612806,0.1681631786629251,0.114622783612806,0.0013392905608764953,0.005184474111438773,0.25832717689177953
subject_01,window29,29,60,alpha_0.01,0.01,1,stress,Task4,1680.0,1740.0,1.0,2505.765625,585.765625,78,77,1.0,58,0.8135775862068966,0.11105021247880346,0.15085249799494801,0.11105021247880346,0.0006236100296356322,0.001594568488836018,0.3910838788058873
subject_01,window30,30,60,alpha_0.01,0.01,1,stress,Task4,1740.0,1800.0,1.0,2505.765625,585.765625,77,76,1.0,54,0.8017939814814815,0.10536738845309579,0.16721546340823323,0.10536738845309579,0.0010881791125053593,0.00238927462685441,0.4554432965866286
subject_01,window31,31,60,alpha_0.01,0.01,1,stress,Task4,1800.0,1860.0,1.0,2505.765625,585.765625,72,71,0.971830985915493,47,0.7842420212765957,0.10352609267489749,0.165567950593063,0.10352609267489749,0.004121056784569387,0.0007378282958006518,5.585387288647472
subject_01,window32,32,60,alpha_0.01,0.01,1,stress,Task4,1860.0,1920.0,1.0,2505.765625,585.765625,79,78,0.9487179487179487,51,0.7558210784313726,0.11741545575147755,0.1565309973296024,0.11741545575147755,0.0030333842303198353,0.0020584818738213426,1.4736025946581182
subject_01,window33,33,60,alpha_0.01,0.01,1,stress,Task4,1920.0,1980.0,1.0,2505.765625,585.765625,79,78,0.9743589743589743,53,0.7402712264150944,0.11256002784219418,0.17455837993292586,0.11256002784219418,0.002333584702699263,0.0016555401526616915,1.4095609212180367
subject_01,window34,34,60,alpha_0.01,0.01,1,stress,Task4,1980.0,2040.0,1.0,2505.765625,585.765625,79,78,0.9871794871794872,50,0.7221875,0.124620125907696,0.18032067346982775,0.124620125907696,0.0037208080211716546,0.002305139951225725,1.6141354103871952
subject_01,window35,35,60,alpha_0.01,0.01,1,stress,Task4,2040.0,2100.0,1.0,2505.765625,585.765625,84,83,1.0,69,0.7429800724637681,0.09263131743987518,0.13314998212155565,0.09263131743987518,0.0005927790375674245,0.0018931601134745863,0.31311616664027186
subject_01,window36,36,60,alpha_0.01,0.01,1,stress,Task4,2100.0,2160.0,1.0,2505.765625,585.765625,76,75,0.9866666666666667,64,0.7890625,0.08773858377037579,0.12807780780131459,0.08773858377037579,0.0008272558733689498,0.0037493606409663826,0.22063918427322263
subject_01,window37,37,60,alpha_0.01,0.01,0,normal,Rest5,2205.765625,2265.765625,1.0,2505.765625,585.765625,74,73,0.9863013698630136,48,0.8723958333333334,0.13611598276429146,0.18581635491166965,0.13611598276429146,0.00445967068056274,0.0032447428616801514,1.3744296145098813
subject_01,window38,38,60,alpha_0.01,0.01,0,normal,Rest5,2265.765625,2325.765625,1.0,2505.765625,585.765625,77,76,0.9868421052631579,48,0.732421875,0.12859515016704315,0.19407520322797223,0.12859515016704315,0.0036380938115587237,0.0028945246563482946,1.2568881745676712
subject_01,window39,39,60,alpha_0.01,0.01,1,stress,Task5,2325.765625,2385.765625,1.0,2505.765625,585.765625,93,92,1.0,53,0.6559551886792453,0.11125368367427874,0.15828008129456905,0.11125368367427874,0.0008298989986490241,0.002593104910668914,0.3200406567565152
subject_01,window40,40,60,alpha_0.01,0.01,0,normal,Rest6,2385.765625,2445.765625,1.0,2505.765625,585.765625,79,78,1.0,46,0.8457880434782609,0.11175633088515008,0.1515616050947234,0.11175633088515008,0.001600830841969827,0.0028764284483168575,0.5565342127340429
subject_01,window41,41,60,alpha_0.01,0.01,0,normal,Rest6,2445.765625,2505.765625,1.0,2505.765625,585.765625,76,75,1.0,53,0.8136792452830188,0.11902931775128371,0.17824462497964594,0.11902931775128371,0.001512077463751328,0.0020795481584170894,0.7271182721261388
subject_02,window1,1,60,alpha_0.01,0.01,0,normal,Rest1,0.0,60.0,1.0,2355.890625,435.890625,74,73,0.9863013698630136,48,0.8017578125,0.1131310179288186,0.1778897989911349,0.1131310179288186,0.001202795369110843,0.0034243700659237534,0.3512457316106046
subject_02,window2,2,60,alpha_0.01,0.01,0,normal,Rest1,60.0,120.0,1.0,2355.890625,435.890625,76,75,1.0,46,0.7717391304347826,0.11217676337169032,0.1515437058794151,0.11217676337169032,0.004722661736648193,0.00343101227867291,1.3764630823399104
subject_02,window3,3,60,alpha_0.01,0.01,0,normal,Rest1,120.0,180.0,1.0,2355.890625,435.890625,79,78,0.9871794871794872,50,0.7440625,0.11219098184011941,0.1492868089929104,0.11219098184011941,0.0024723182725634447,0.0019982451043050156,1.2372447540279652
subject_02,window4,4,60,alpha_0.01,0.01,1,stress,Task1,180.0,240.0,1.0,2355.890625,435.890625,82,81,1.0,51,0.765625,0.1263332694720207,0.19894742552996256,0.1263332694720207,0.0016359568409774407,0.005869945104757733,0.278700534976291
subject_02,window5,5,60,alpha_0.01,0.01,1,stress,Task1,240.0,300.0,1.0,2355.890625,435.890625,88,87,1.0,45,0.6777777777777778,0.12153571402657991,0.16858288231676213,0.12153571402657991,0.0041397433563335456,0.002516831611390185,1.6448233316836547
subject_02,window6,6,60,alpha_0.01,0.01,1,stress,Task1,300.0,360.0,1.0,2355.890625,435.890625,88,87,0.9885057471264368,46,0.5971467391304348,0.10224805430389346,0.14414950524060466,0.10224805430389346,0.0029133035491296817,0.0007099205334901158,4.1037037410472985
subject_02,window7,7,60,alpha_0.01,0.01,1,stress,Task1,360.0,420.0,1.0,2355.890625,435.890625,77,76,0.9868421052631579,53,0.7411556603773585,0.11982620548046626,0.17228425925074212,0.11982620548046626,0.002744613658034607,0.0055935378071722,0.4906758035165834
subject_02,window8,8,60,alpha_0.01,0.01,1,stress,Task1,420.0,480.0,1.0,2355.890625,435.890625,94,93,1.0,49,0.5739795918367347,0.10085608478722992,0.14707779107534955,0.10085608478722992,0.002961861705582789,0.0026282310620097506,1.1269411386219286
subject_02,window9,9,60,alpha_0.01,0.01,1,stress,Task1,480.0,540.0,1.0,2355.890625,435.890625,90,89,1.0,43,0.623546511627907,0.11618705479935164,0.16005413774385394,0.11618705479935164,0.0024885976233687815,0.001679169712144003,1.4820405616959837
subject_02,window10,10,60,alpha_0.01,0.01,1,stress,Task1,540.0,600.0,1.0,2355.890625,435.890625,88,87,1.0,51,0.6590073529411765,0.10496200121179682,0.15330028233013793,0.10496200121179682,0.0014739221357857994,0.0027316878692037953,0.5395646231776119
subject_02,window11,11,60,alpha_0.01,0.01,1,stress,Task1,600.0,660.0,1.0,2355.890625,435.890625,76,75,0.9866666666666667,39,0.7363782051282052,0.12890434328327052,0.19955104832638162,0.12890434328327052,0.0039484456589401785,0.0017872674982830458,2.209208002010492
subject_02,window12,12,60,alpha_0.01,0.01,1,stress,Task1,660.0,720.0,1.0,2355.890625,435.890625,79,78,0.9871794871794872,51,0.7080269607843137,0.11383544063768072,0.15656218812344186,0.11383544063768072,0.003333206213876146,0.002835557899303147,1.1755027871923542
subject_02,window13,13,60,alpha_0.01,0.01,1,stress,Task1,720.0,780.0,1.0,2355.890625,435.890625,87,86,1.0,47,0.6855053191489362,0.10221212154561507,0.16139623045945573,0.10221212154561507,0.001572011849509636,0.0019661064919996815,0.7995558002103839
subject_02,window14,14,60,alpha_0.01,0.01,0,normal,Rest2,780.0,840.0,1.0,2355.890625,435.890625,81,80,1.0,44,0.7290482954545454,0.13478001124704514,0.18692377542668948,0.13478001124704514,0.0024135482589669635,0.006623622685335176,0.3643849255348745
subject_02,window15,15,60,alpha_0.01,0.01,0,normal,Rest2,840.0,900.0,1.0,2355.890625,435.890625,85,84,1.0,57,0.7425986842105263,0.11762456009025749,0.1692937255582523,0.11762456009025749,0.0010400175602147625,0.004373790202214421,0.23778405276234063
subject_02,window16,16,60,alpha_0.01,0.01,1,stress,Task2,900.0,960.0,1.0,2355.890625,435.890625,77,76,0.9868421052631579,47,0.7845744680851063,0.11727882834017708,0.14429466167737098,0.11727882834017708,0.0023727933498426347,0.002325057467353288,1.0205310548920266
subject_02,window17,17,60,alpha_0.01,0.01,1,stress,Task2,960.0,1020.0,1.0,2355.890625,435.890625,85,84,1.0,43,0.657703488372093,0.12334542458843388,0.17525756980458654,0.12334542458843388,0.004999009136678303,0.002511109388413026,1.990757216609183
subject_02,window18,18,60,alpha_0.01,0.01,1,stress,Task2,1020.0,1080.0,1.0,2355.890625,435.890625,80,79,0.9873417721518988,49,0.7279974489795918,0.11169275142341653,0.15324254098385182,0.11169275142341653,0.0024020729036883684,0.0034783502184297867,0.6905782203761884
subject_02,window19,19,60,alpha_0.01,0.01,1,stress,Task2,1080.0,1140.0,1.0,2355.890625,435.890625,85,84,1.0,49,0.6361607142857143,0.11298259584681931,0.17589695266186156,0.11298259584681931,0.0013947765661165342,0.0027739205745174757,0.5028177731293392
subject_02,window20,20,60,alpha_0.01,0.01,1,stress,Task2,1140.0,1200.0,1.0,2355.890625,435.890625,93,92,1.0,52,0.5796274038461539,0.09240113443926883,0.13039814596300145,0.09240113443926883,0.0029212997562254954,0.002565365670200745,1.1387459457181002
subject_02,window21,21,60,alpha_0.01,0.01,0,normal,Rest3,1200.0,1260.0,1.0,2355.890625,435.890625,80,79,1.0,47,0.7596409574468085,0.13661743744282792,0.19598390035502805,0.13661743744282792,0.004227260074566481,0.005992652338173098,0.7054071946805428
subject_02,window22,22,60,alpha_0.01,0.01,0,normal,Rest3,1260.0,1320.0,1.0,2355.890625,435.890625,89,88,0.9886363636363636,50,0.575,0.09116220091134264,0.12927171638902016,0.09116220091134264,0.003036809587947287,0.0021271963158332363,1.42761134237756
subject_02,window23,23,60,alpha_0.01,0.01,1,stress,Task3,1320.0,1380.0,1.0,2355.890625,435.890625,71,70,0.9285714285714286,39,0.7155448717948718,0.11575267374929948,0.1542220369390561,0.11575267374929948,0.0023475817973446934,0.0012853153191293284,1.8264637185954833
subject_02,window24,24,60,alpha_0.01,0.01,1,stress,Task3,1380.0,1440.0,1.0,2355.890625,435.890625,85,84,0.9880952380952381,42,0.6328125,0.11758365578868073,0.16364002660696078,0.11758365578868073,0.005688821252818366,0.0012742153042860102,4.464568298374051
subject_02,window25,25,60,alpha_0.01,0.01,1,stress,Task3,1440.0,1500.0,1.0,2355.890625,435.890625,87,86,1.0,50,0.6728125,0.10640659416243901,0.1743216398497271,0.10640659416243901,0.0003840051248122241,0.003166291507554957,0.12127914435419651
subject_02,window26,26,60,alpha_0.01,0.01,0,normal,Rest4,1500.0,1560.0,1.0,2355.890625,435.890625,82,81,0.9876543209876543,45,0.675,0.10518254634470282,0.14920183001406334,0.10518254634470282,0.0016244616919915524,0.0018826289259717887,0.8628687627079915
subject_02,window27,27,60,alpha_0.01,0.01,0,normal,Rest4,1560.0,1620.0,1.0,2355.890625,435.890625,88,87,1.0,48,0.6598307291666666,0.11732802266326865,0.16412976711165972,0.11732802266326865,0.0012926415288433781,0.003233414985522494,0.39977594420485363
subject_02,window28,28,60,alpha_0.01,0.01,1,stress,Task4,1620.0,1680.0,1.0,2355.890625,435.890625,74,73,0.9863013698630136,57,0.8089364035087719,0.11888905552433647,0.1433272121132022,0.11888905552433647,0.004161538133480429,0.003785712563143775,1.0992747241287004
subject_02,window29,29,60,alpha_0.01,0.01,1,stress,Task4,1680.0,1740.0,1.0,2355.890625,435.890625,85,84,1.0,56,0.7575334821428571,0.10514753795653567,0.13082995556342314,0.10514753795653567,0.001630365740357718,0.0024154553225386797,0.6749724265833984
subject_02,window30,30,60,alpha_0.01,0.01,1,stress,Task4,1740.0,1800.0,1.0,2355.890625,435.890625,83,82,1.0,56,0.806640625,0.11261784270131736,0.14860561652025012,0.11261784270131736,0.0014297975723720495,0.0014333760115763762,0.9975034888435231
subject_02,window31,31,60,alpha_0.01,0.01,1,stress,Task4,1800.0,1860.0,1.0,2355.890625,435.890625,77,76,1.0,61,0.7991803278688525,0.09585395558625553,0.12838832189072596,0.09585395558625553,0.0013150764978311679,0.0033623293196655803,0.39112067046483306
subject_02,window32,32,60,alpha_0.01,0.01,1,stress,Task4,1860.0,1920.0,1.0,2355.890625,435.890625,79,78,1.0,59,0.7714512711864406,0.11783975630387636,0.16283277845453642,0.11783975630387636,0.00327940546815349,0.003810205136726456,0.8606900023684805
subject_02,window33,33,60,alpha_0.01,0.01,1,stress,Task4,1920.0,1980.0,1.0,2355.890625,435.890625,76,75,1.0,64,0.8310546875,0.08988089415597368,0.12048518194143344,0.08988089415597368,0.0006930477887807216,0.0034895775367759434,0.19860506937496958
subject_02,window34,34,60,alpha_0.01,0.01,1,stress,Task4,1980.0,2040.0,1.0,2355.890625,435.890625,81,80,1.0,52,0.8200120192307693,0.10220719864126883,0.13640874342161044,0.10220719864126883,0.0043883696713604755,0.0030479017808284405,1.439800225507164
subject_02,window35,35,60,alpha_0.01,0.01,0,normal,Rest5,2055.890625,2115.890625,1.0,2355.890625,435.890625,84,83,0.9879518072289156,59,0.7404661016949152,0.1254961336904205,0.16930882089216898,0.1254961336904205,0.0018392992471710455,0.0021804051168928407,0.8435584896223854
subject_02,window36,36,60,alpha_0.01,0.01,0,normal,Rest5,2115.890625,2175.890625,1.0,2355.890625,435.890625,92,91,1.0,59,0.6411546610169492,0.10995857111544101,0.15642500974770296,0.10995857111544101,0.0024477304351752144,0.0039844221797424775,0.6143250701745208
subject_02,window37,37,60,alpha_0.01,0.01,1,stress,Task5,2175.890625,2235.890625,1.0,2355.890625,435.890625,92,91,0.989010989010989,56,0.5616629464285714,0.09570231153340245,0.1474812199138342,0.09570231153340245,0.0001832012409272061,0.002193221246836241,0.08353067032862144
subject_02,window38,38,60,alpha_0.01,0.01,0,normal,Rest6,2235.890625,2295.890625,1.0,2355.890625,435.890625,84,83,0.9879518072289156,58,0.7505387931034483,0.11304516187969067,0.16650811400201726,0.11304516187969067,0.0017136307652469926,0.0047017480346074995,0.3644667371866187
subject_02,window39,39,60,alpha_0.01,0.01,0,normal,Rest6,2295.890625,2355.890625,1.0,2355.890625,435.890625,84,83,1.0,52,0.7412860576923077,0.10247892119253176,0.14255215441353797,0.10247892119253176,0.0012869740045725493,0.003897940877353915,0.33016765647974655
subject_03,window1,1,60,alpha_0.01,0.01,0,normal,Rest1,0.0,60.0,1.0,2076.25,156.25,81,80,1.0,64,0.7265625,0.09978156073785001,0.13630091337953404,0.09978156073785001,0.002609232053377363,0.0048988576599979594,0.5326205075691972
subject_03,window2,2,60,alpha_0.01,0.01,0,normal,Rest1,60.0,120.0,1.0,2076.25,156.25,81,80,1.0,63,0.7586805555555556,0.08543561862275746,0.11204264111229865,0.08543561862275746,0.0017879326207916844,0.0024295329371250246,0.7359161892686359
subject_03,window3,3,60,alpha_0.01,0.01,0,normal,Rest1,120.0,180.0,1.0,2076.25,156.25,83,82,1.0,77,0.7169237012987013,0.06280233419333676,0.06273086473023173,0.06280233419333676,0.0010182353449183588,0.0009510740677343445,1.0706162426907573
subject_03,window4,4,60,alpha_0.01,0.01,1,stress,Task1,180.0,240.0,1.0,2076.25,156.25,95,94,1.0,65,0.6050480769230769,0.09304654721280554,0.10249720127657755,0.09304654721280554,0.0017917825285538045,0.0017349229425342456,1.0327735512774432
subject_03,window5,5,60,alpha_0.01,0.01,1,stress,Task1,240.0,300.0,1.0,2076.25,156.25,100,99,1.0,62,0.5803931451612904,0.10256932610015636,0.13351504758014307,0.10256932610015636,0.0006107377337438921,0.0024503958746155043,0.24924043501327064
subject_03,window6,6,60,alpha_0.01,0.01,1,stress,Task1,300.0,360.0,1.0,2076.25,156.25,89,88,1.0,50,0.6715625,0.11761339275886058,0.1781384259172212,0.11761339275886058,0.0023800644425645634,0.003018876672233955,0.7883940620877787
subject_03,window7,7,60,alpha_0.01,0.01,1,stress,Task1,360.0,420.0,1.0,2076.25,156.25,91,90,1.0,54,0.6319444444444444,0.08692699838277809,0.11917052526518934,0.08692699838277809,0.001102265780615662,0.0018992095886925064,0.5803813266204637
subject_03,window8,8,60,alpha_0.01,0.01,1,stress,Task1,420.0,480.0,1.0,2076.25,156.25,90,89,1.0,54,0.6299189814814815,0.08073331497373192,0.10562559310986765,0.08073331497373192,0.0014001122710659212,0.0013543499268382092,1.0337891584153192
subject_03,window9,9,60,alpha_0.01,0.01,1,stress,Task1,480.0,540.0,1.0,2076.25,156.25,89,88,1.0,49,0.6492346938775511,0.10116613316924043,0.1360287648616706,0.10116613316924043,0.004904432455789965,0.0031308805985544555,1.5664706147064082
subject_03,window10,10,60,alpha_0.01,0.01,1,stress,Task1,540.0,600.0,1.0,2076.25,156.25,91,90,1.0,55,0.5980113636363636,0.09320173706172173,0.1267598912241098,0.09320173706172173,0.000752386140412231,0.0015297754122594008,0.4918278424288404
subject_03,window11,11,60,alpha_0.01,0.01,1,stress,Task1,600.0,660.0,1.0,2076.25,156.25,93,92,1.0,59,0.6234110169491526,0.09435253563270966,0.1489258640562941,0.09435253563270966,0.0017362665661098918,0.001686663941103324,1.0294087184754306
subject_03,window12,12,60,alpha_0.01,0.01,1,stress,Task1,660.0,720.0,1.0,2076.25,156.25,93,92,1.0,54,0.6076388888888888,0.10531771450071598,0.16366542807416024,0.10531771450071598,0.001508515980323807,0.0033373637278805166,0.4520082626060753
subject_03,window13,13,60,alpha_0.01,0.01,1,stress,Task1,720.0,780.0,1.0,2076.25,156.25,96,95,1.0,56,0.6026785714285714,0.09457676474276959,0.13082995556342314,0.09457676474276959,0.0010462370952548092,0.0028952699166382967,0.36136081449345386
subject_03,window14,14,60,alpha_0.01,0.01,0,normal,Rest2,780.0,840.0,1.0,2076.25,156.25,93,92,1.0,59,0.6247351694915254,0.0999657120367885,0.15642500974770296,0.0999657120367885,0.002082088655583535,0.0013153299962628867,1.58294014543815
subject_03,window15,15,60,alpha_0.01,0.01,0,normal,Rest2,840.0,900.0,1.0,2076.25,156.25,84,83,1.0,64,0.70849609375,0.0745888566967946,0.10261115367798465,0.0745888566967946,0.0006582241889004765,0.0027574438648854584,0.2387081011086398
subject_03,window16,16,60,alpha_0.01,0.01,1,stress,Task2,900.0,960.0,1.0,2076.25,156.25,85,84,0.9880952380952381,49,0.6543367346938775,0.09768692901070163,0.13997244427475716,0.09768692901070163,0.0034255361546340637,0.0011105029732509006,3.084670853789887
subject_03,window17,17,60,alpha_0.01,0.01,1,stress,Task2,960.0,1020.0,1.0,2076.25,156.25,88,87,0.9885057471264368,56,0.6350446428571429,0.11827724606020693,0.17781572033351628,0.11827724606020693,0.003949867573309775,0.0033458493677029338,1.1805276147328547
subject_03,window18,18,60,alpha_0.01,0.01,1,stress,Task2,1020.0,1080.0,1.0,2076.25,156.25,92,91,1.0,49,0.6661352040816326,0.09147395928628743,0.11796616305110547,0.09147395928628743,0.0016962722413223265,0.0015791914738906177,1.0741396907008747
subject_03,window19,19,60,alpha_0.01,0.01,1,stress,Task2,1080.0,1140.0,1.0,2076.25,156.25,90,89,0.9887640449438202,49,0.6425382653061225,0.08853662624177946,0.13115540986348345,0.08853662624177946,0.00044449611151678746,0.0018907796613401567,0.2350861502295488
subject_03,window20,20,60,alpha_0.01,0.01,1,stress,Task2,1140.0,1200.0,1.0,2076.25,156.25,91,90,1.0,57,0.6269188596491229,0.1016866302603228,0.1497533314082099,0.1016866302603228,0.0011736481955929843,0.002766384383886461,0.42425347772681526
subject_03,window21,21,60,alpha_0.01,0.01,0,normal,Rest3,1200.0,1260.0,1.0,2076.25,156.25,93,92,0.9891304347826086,64,0.6201171875,0.08738461106776664,0.12892221972987963,0.08738461106776664,0.0006493198667355295,0.001516656711837436,0.4281257991130213
subject_03,window22,22,60,alpha_0.01,0.01,0,normal,Rest3,1260.0,1320.0,1.0,2076.25,156.25,91,90,1.0,68,0.6976102941176471,0.08468610545143249,0.09874740219518946,0.08468610545143249,0.0032157094448176816,0.0018551344778897799,1.7334104255749476
subject_03,window23,23,60,alpha_0.01,0.01,1,stress,Task3,1320.0,1380.0,1.0,2076.25,156.25,95,94,1.0,81,0.6568287037037037,0.0780842657866684,0.0740952920548094,0.0780842657866684,0.001092398400787376,0.000500873722861161,2.180985647534522
